user_id,segmentation
413340,Exclusive discounts
413418,Exclusive discounts
413658,Free checked bag
414128,1 night free hotel with flight
415282,Free hotel meal
415381,Exclusive discounts
415581,No cancellation fee
416319,No cancellation fee
416580,1 night free hotel with flight
417679,1 night free hotel with flight
418329,No cancellation fee
418488,No cancellation fee
418692,1 night free hotel with flight
420648,Free checked bag
420669,Free hotel meal
421247,1 night free hotel with flight
421515,No cancellation fee
421666,Free hotel meal
421700,Free checked bag
421870,Free hotel meal
422066,Free checked bag
422668,No cancellation fee
423042,1 night free hotel with flight
423413,Exclusive discounts
424553,Exclusive discounts
425632,Free hotel meal
425653,Free hotel meal
425953,No cancellation fee
425966,Exclusive discounts
426478,Free checked bag
427426,Free checked bag
427506,1 night free hotel with flight
428056,Free checked bag
428552,1 night free hotel with flight
428858,Free checked bag
429345,Free hotel meal
429375,1 night free hotel with flight
430722,1 night free hotel with flight
431144,Exclusive discounts
431337,Exclusive discounts
431602,Free checked bag
431746,Exclusive discounts
431899,1 night free hotel with flight
431912,Free hotel meal
432333,Exclusive discounts
432637,1 night free hotel with flight
432941,Exclusive discounts
433080,Exclusive discounts
433339,Free hotel meal
433905,No cancellation fee
434238,Exclusive discounts
434623,1 night free hotel with flight
435231,No cancellation fee
435596,No cancellation fee
435669,1 night free hotel with flight
435837,Free checked bag
435882,1 night free hotel with flight
436320,Free hotel meal
436894,Exclusive discounts
437069,1 night free hotel with flight
437162,Exclusive discounts
437251,Exclusive discounts
437539,1 night free hotel with flight
437549,1 night free hotel with flight
438189,1 night free hotel with flight
438406,Free checked bag
438551,Free checked bag
438596,Exclusive discounts
438839,1 night free hotel with flight
438937,1 night free hotel with flight
438985,1 night free hotel with flight
438995,No cancellation fee
439052,1 night free hotel with flight
439120,Free checked bag
439363,No cancellation fee
440212,Free hotel meal
440655,1 night free hotel with flight
441200,Exclusive discounts
441205,No cancellation fee
441448,Free hotel meal
441457,1 night free hotel with flight
441982,1 night free hotel with flight
442484,Exclusive discounts
442718,Free hotel meal
442812,Free hotel meal
442819,Free checked bag
442833,1 night free hotel with flight
443305,Free checked bag
443453,1 night free hotel with flight
443598,Free checked bag
443652,1 night free hotel with flight
444387,Exclusive discounts
444885,Free checked bag
445351,Exclusive discounts
445515,Exclusive discounts
446124,1 night free hotel with flight
446138,Exclusive discounts
446473,1 night free hotel with flight
446933,No cancellation fee
447053,Free hotel meal
447591,Free checked bag
447737,Free checked bag
447951,1 night free hotel with flight
448025,Free checked bag
448154,Free hotel meal
448295,1 night free hotel with flight
448467,No cancellation fee
448564,No cancellation fee
449033,No cancellation fee
449326,No cancellation fee
449619,Free checked bag
449804,1 night free hotel with flight
449980,Free checked bag
450164,No cancellation fee
450193,No cancellation fee
450305,No cancellation fee
450615,No cancellation fee
451291,Free checked bag
451674,Free hotel meal
452034,1 night free hotel with flight
452532,Free checked bag
452594,Free hotel meal
452612,Free checked bag
453143,1 night free hotel with flight
453168,1 night free hotel with flight
454264,Free checked bag
454430,No cancellation fee
454616,1 night free hotel with flight
454661,1 night free hotel with flight
454920,1 night free hotel with flight
454934,1 night free hotel with flight
454955,Exclusive discounts
456226,Exclusive discounts
456318,1 night free hotel with flight
456663,Free hotel meal
456671,Free checked bag
457468,Exclusive discounts
457599,1 night free hotel with flight
457967,1 night free hotel with flight
458479,1 night free hotel with flight
458688,Free checked bag
458725,1 night free hotel with flight
458762,Free hotel meal
458814,Exclusive discounts
458855,Free hotel meal
458919,Exclusive discounts
459229,1 night free hotel with flight
459486,1 night free hotel with flight
459645,Free checked bag
460072,Exclusive discounts
460181,Free checked bag
460553,Exclusive discounts
460625,Free hotel meal
461559,No cancellation fee
461744,Exclusive discounts
461791,1 night free hotel with flight
462127,No cancellation fee
462456,Free hotel meal
462894,Exclusive discounts
463652,Exclusive discounts
463698,Exclusive discounts
463783,Free hotel meal
463867,Free checked bag
463910,1 night free hotel with flight
464080,No cancellation fee
464160,Free checked bag
464239,No cancellation fee
464542,Free hotel meal
464597,Free hotel meal
464614,1 night free hotel with flight
464673,Free hotel meal
464782,Exclusive discounts
464855,Free hotel meal
465138,1 night free hotel with flight
465343,Free hotel meal
465531,Free checked bag
465568,Free checked bag
465731,1 night free hotel with flight
466205,Free hotel meal
466342,Free checked bag
466723,1 night free hotel with flight
467007,Free hotel meal
467092,Free hotel meal
467339,Free hotel meal
467809,Exclusive discounts
467892,1 night free hotel with flight
468106,Free checked bag
468370,No cancellation fee
468409,1 night free hotel with flight
468666,Exclusive discounts
468801,Free hotel meal
468808,1 night free hotel with flight
468832,1 night free hotel with flight
469237,Free hotel meal
469418,Free hotel meal
469440,1 night free hotel with flight
469464,Exclusive discounts
469699,Free hotel meal
469767,Exclusive discounts
469824,No cancellation fee
471077,1 night free hotel with flight
471161,No cancellation fee
471186,Free checked bag
471500,Free hotel meal
471565,Free hotel meal
471649,Free checked bag
471687,No cancellation fee
471717,1 night free hotel with flight
471935,Exclusive discounts
471946,Free hotel meal
471973,Free hotel meal
472394,Exclusive discounts
472446,No cancellation fee
472614,1 night free hotel with flight
472713,Free hotel meal
472785,1 night free hotel with flight
472966,Exclusive discounts
473332,Exclusive discounts
473343,No cancellation fee
473402,Free checked bag
473467,No cancellation fee
473568,Exclusive discounts
473712,No cancellation fee
473847,Free hotel meal
474007,1 night free hotel with flight
474120,1 night free hotel with flight
474239,Free hotel meal
474261,No cancellation fee
474278,Exclusive discounts
474384,1 night free hotel with flight
474464,Free checked bag
474546,1 night free hotel with flight
474951,1 night free hotel with flight
474980,1 night free hotel with flight
475060,Exclusive discounts
475130,1 night free hotel with flight
475467,1 night free hotel with flight
475531,Exclusive discounts
476081,Free checked bag
476104,1 night free hotel with flight
476124,1 night free hotel with flight
476173,No cancellation fee
476270,1 night free hotel with flight
476393,No cancellation fee
476436,Exclusive discounts
476535,Exclusive discounts
476665,1 night free hotel with flight
476693,No cancellation fee
476714,1 night free hotel with flight
476742,Free hotel meal
476916,Free hotel meal
476956,Free checked bag
477285,1 night free hotel with flight
477316,No cancellation fee
477597,Free checked bag
477730,Free checked bag
477805,No cancellation fee
478003,1 night free hotel with flight
478146,Free checked bag
478188,Exclusive discounts
478228,Exclusive discounts
478291,1 night free hotel with flight
478533,Free checked bag
478585,Exclusive discounts
478760,Exclusive discounts
478801,Free checked bag
478834,Free hotel meal
479071,1 night free hotel with flight
479078,Free checked bag
479101,No cancellation fee
479254,1 night free hotel with flight
479524,Free checked bag
479785,Free hotel meal
480186,No cancellation fee
480313,1 night free hotel with flight
480331,1 night free hotel with flight
480690,1 night free hotel with flight
480796,Free hotel meal
480877,Free checked bag
480895,1 night free hotel with flight
480975,Free hotel meal
481050,Free hotel meal
481245,Free checked bag
481292,1 night free hotel with flight
481358,Exclusive discounts
481554,1 night free hotel with flight
481622,1 night free hotel with flight
481772,1 night free hotel with flight
481781,Free hotel meal
482264,Exclusive discounts
482335,Free hotel meal
482424,No cancellation fee
482548,Free hotel meal
482602,No cancellation fee
482621,Free checked bag
482630,Exclusive discounts
482744,Free checked bag
482811,Free checked bag
483224,Free hotel meal
483237,1 night free hotel with flight
483345,Exclusive discounts
483480,Free hotel meal
483483,Free hotel meal
483525,No cancellation fee
483603,Exclusive discounts
483928,1 night free hotel with flight
483982,Exclusive discounts
484249,1 night free hotel with flight
484342,Free checked bag
484418,Free checked bag
484987,Exclusive discounts
485149,1 night free hotel with flight
485260,Free hotel meal
485393,Free checked bag
485505,Exclusive discounts
485518,Free checked bag
485536,Free hotel meal
485544,1 night free hotel with flight
485591,Free checked bag
485658,Free checked bag
485780,Free hotel meal
485785,Free checked bag
485891,Free hotel meal
485894,Free hotel meal
486046,Free hotel meal
486113,No cancellation fee
486191,Free hotel meal
486261,Free checked bag
486268,No cancellation fee
486270,1 night free hotel with flight
486366,Exclusive discounts
486447,Free checked bag
486454,Exclusive discounts
486605,1 night free hotel with flight
486671,No cancellation fee
486751,1 night free hotel with flight
486823,1 night free hotel with flight
487002,Free checked bag
487036,Exclusive discounts
487040,Free hotel meal
487101,No cancellation fee
487276,1 night free hotel with flight
487352,Free hotel meal
487453,1 night free hotel with flight
487637,Free hotel meal
487680,Free hotel meal
487715,1 night free hotel with flight
487858,Exclusive discounts
487954,Exclusive discounts
488009,Free hotel meal
488099,No cancellation fee
488246,No cancellation fee
488314,1 night free hotel with flight
488410,Exclusive discounts
488430,Free checked bag
488462,1 night free hotel with flight
488480,Exclusive discounts
488511,No cancellation fee
488529,Exclusive discounts
488539,Free hotel meal
488672,1 night free hotel with flight
488827,No cancellation fee
488865,Free checked bag
488870,1 night free hotel with flight
488918,1 night free hotel with flight
488974,No cancellation fee
489096,Free checked bag
489131,1 night free hotel with flight
489575,1 night free hotel with flight
489635,1 night free hotel with flight
489661,1 night free hotel with flight
489730,No cancellation fee
489785,Free hotel meal
489786,Free hotel meal
489802,Exclusive discounts
489844,Free checked bag
489852,1 night free hotel with flight
489949,Free checked bag
489953,No cancellation fee
489992,1 night free hotel with flight
490040,Free checked bag
490107,1 night free hotel with flight
490133,Exclusive discounts
490201,Free hotel meal
490348,Exclusive discounts
490358,Free hotel meal
490517,No cancellation fee
490576,Free checked bag
490608,1 night free hotel with flight
490629,1 night free hotel with flight
490671,Free hotel meal
491003,Free checked bag
491124,1 night free hotel with flight
491141,No cancellation fee
491175,Free hotel meal
491182,No cancellation fee
491241,1 night free hotel with flight
491266,No cancellation fee
491559,Free checked bag
491597,Exclusive discounts
491617,Free checked bag
491706,Free checked bag
491772,Exclusive discounts
491925,Exclusive discounts
491930,Exclusive discounts
491995,No cancellation fee
492209,Exclusive discounts
492211,No cancellation fee
492287,Free checked bag
492371,No cancellation fee
492497,Exclusive discounts
492614,Free checked bag
492999,Exclusive discounts
493177,1 night free hotel with flight
493409,No cancellation fee
493476,Exclusive discounts
493718,Free hotel meal
494294,1 night free hotel with flight
494374,Exclusive discounts
494382,No cancellation fee
494441,Free hotel meal
494463,Free hotel meal
494484,Free checked bag
494590,1 night free hotel with flight
494630,No cancellation fee
494680,1 night free hotel with flight
494704,No cancellation fee
494985,Exclusive discounts
495029,Exclusive discounts
495042,No cancellation fee
495080,Free checked bag
495272,Exclusive discounts
495273,No cancellation fee
495386,1 night free hotel with flight
495482,No cancellation fee
495592,Free hotel meal
495603,1 night free hotel with flight
495727,1 night free hotel with flight
496016,No cancellation fee
496074,Free checked bag
496273,Free checked bag
496286,Exclusive discounts
496332,1 night free hotel with flight
496382,Exclusive discounts
496408,1 night free hotel with flight
496566,Exclusive discounts
496899,1 night free hotel with flight
496972,Exclusive discounts
497042,No cancellation fee
497077,1 night free hotel with flight
497108,1 night free hotel with flight
497225,1 night free hotel with flight
497475,Free checked bag
497615,No cancellation fee
497678,Exclusive discounts
497680,Free hotel meal
497829,No cancellation fee
497915,1 night free hotel with flight
498154,Exclusive discounts
498199,1 night free hotel with flight
498287,1 night free hotel with flight
498298,Exclusive discounts
498357,1 night free hotel with flight
498363,1 night free hotel with flight
498500,1 night free hotel with flight
498574,1 night free hotel with flight
498607,Free checked bag
498665,1 night free hotel with flight
498857,No cancellation fee
498931,1 night free hotel with flight
499028,1 night free hotel with flight
499038,Exclusive discounts
499252,No cancellation fee
499313,Exclusive discounts
499366,1 night free hotel with flight
499375,1 night free hotel with flight
499379,Free checked bag
499461,Exclusive discounts
499475,Exclusive discounts
499633,No cancellation fee
499634,Free hotel meal
499659,No cancellation fee
499669,Free hotel meal
499751,No cancellation fee
499760,Free hotel meal
499780,Free hotel meal
499810,1 night free hotel with flight
499847,Free checked bag
499969,No cancellation fee
499979,1 night free hotel with flight
499990,1 night free hotel with flight
500078,Exclusive discounts
500196,No cancellation fee
500243,Free checked bag
500257,1 night free hotel with flight
500288,Free hotel meal
500299,1 night free hotel with flight
500493,Free hotel meal
500532,Free hotel meal
500646,Exclusive discounts
500745,No cancellation fee
500773,No cancellation fee
500791,Free hotel meal
500828,Exclusive discounts
500972,1 night free hotel with flight
500974,Exclusive discounts
501087,Exclusive discounts
501125,Exclusive discounts
501184,No cancellation fee
501322,Free checked bag
501344,Free hotel meal
501436,1 night free hotel with flight
501512,Free hotel meal
501708,Free checked bag
501735,Exclusive discounts
501764,Exclusive discounts
501780,Free hotel meal
501794,1 night free hotel with flight
501817,Exclusive discounts
501830,Free hotel meal
501897,Free checked bag
501947,Free hotel meal
502063,Free checked bag
502145,1 night free hotel with flight
502210,1 night free hotel with flight
502212,Free checked bag
502353,Exclusive discounts
502412,Exclusive discounts
502435,Free hotel meal
502444,Exclusive discounts
502609,1 night free hotel with flight
502626,Free hotel meal
502799,1 night free hotel with flight
502819,Free hotel meal
502826,Free hotel meal
502847,Exclusive discounts
502850,Free hotel meal
502875,Free hotel meal
502995,Free hotel meal
503042,Free checked bag
503049,Free hotel meal
503058,Exclusive discounts
503126,No cancellation fee
503161,Free hotel meal
503277,Exclusive discounts
503342,1 night free hotel with flight
503418,No cancellation fee
503483,Free hotel meal
503621,Exclusive discounts
503760,1 night free hotel with flight
503773,Free hotel meal
503918,Free hotel meal
503928,1 night free hotel with flight
503945,1 night free hotel with flight
503973,No cancellation fee
504081,Free hotel meal
504133,No cancellation fee
504240,1 night free hotel with flight
504299,Free hotel meal
504320,1 night free hotel with flight
504371,No cancellation fee
504435,1 night free hotel with flight
504473,Free checked bag
504579,Free hotel meal
504610,Exclusive discounts
504665,Free checked bag
504669,Free checked bag
504786,Free hotel meal
504859,Free hotel meal
504892,No cancellation fee
504916,Free checked bag
504936,No cancellation fee
504945,1 night free hotel with flight
505062,Free hotel meal
505066,Free hotel meal
505172,Free checked bag
505230,Free hotel meal
505285,1 night free hotel with flight
505289,No cancellation fee
505358,No cancellation fee
505414,Free checked bag
505498,Exclusive discounts
505617,Exclusive discounts
505667,Free checked bag
505680,Exclusive discounts
505713,No cancellation fee
505747,Free checked bag
505771,1 night free hotel with flight
505854,Exclusive discounts
505916,No cancellation fee
505933,Free checked bag
505941,Free hotel meal
506013,No cancellation fee
506130,1 night free hotel with flight
506186,No cancellation fee
506234,Free checked bag
506250,Free hotel meal
506347,Exclusive discounts
506427,No cancellation fee
506611,Free checked bag
506652,Free hotel meal
506675,Free hotel meal
506704,Free checked bag
506777,Free hotel meal
506807,No cancellation fee
506828,No cancellation fee
506837,Free hotel meal
506858,1 night free hotel with flight
506990,No cancellation fee
507036,Exclusive discounts
507133,Free checked bag
507207,Free hotel meal
507273,Exclusive discounts
507376,Free checked bag
507395,1 night free hotel with flight
507431,No cancellation fee
507435,Exclusive discounts
507505,Free hotel meal
507513,Free checked bag
507531,Exclusive discounts
507557,Exclusive discounts
507573,1 night free hotel with flight
507617,Free checked bag
507728,Free hotel meal
507732,1 night free hotel with flight
507753,Free hotel meal
507759,Exclusive discounts
507773,1 night free hotel with flight
507805,1 night free hotel with flight
508050,1 night free hotel with flight
508096,Free hotel meal
508111,Free checked bag
508144,Exclusive discounts
508153,Free checked bag
508240,Exclusive discounts
508360,No cancellation fee
508367,Exclusive discounts
508497,Exclusive discounts
508512,Free hotel meal
508546,No cancellation fee
508611,Free hotel meal
508625,1 night free hotel with flight
508693,No cancellation fee
508713,Free hotel meal
508731,No cancellation fee
508829,1 night free hotel with flight
508848,Free hotel meal
508849,1 night free hotel with flight
508856,Free hotel meal
508857,1 night free hotel with flight
508860,1 night free hotel with flight
508866,No cancellation fee
508877,No cancellation fee
508891,Free hotel meal
508892,1 night free hotel with flight
508901,Exclusive discounts
508912,Exclusive discounts
508917,Free checked bag
508923,Free checked bag
508938,No cancellation fee
508940,No cancellation fee
508944,No cancellation fee
508946,No cancellation fee
508964,Free hotel meal
508973,Free checked bag
509001,Free hotel meal
509024,Exclusive discounts
509036,Free hotel meal
509052,Free checked bag
509061,Free hotel meal
509069,Exclusive discounts
509098,No cancellation fee
509115,No cancellation fee
509119,Free checked bag
509157,Exclusive discounts
509160,No cancellation fee
509162,Free hotel meal
509202,Free hotel meal
509221,No cancellation fee
509242,Free checked bag
509272,Free hotel meal
509278,Free checked bag
509282,Free checked bag
509302,Exclusive discounts
509316,No cancellation fee
509324,1 night free hotel with flight
509341,Free checked bag
509346,Free hotel meal
509353,Free checked bag
509354,No cancellation fee
509359,1 night free hotel with flight
509402,Free hotel meal
509411,No cancellation fee
509413,Free hotel meal
509414,No cancellation fee
509419,No cancellation fee
509421,Exclusive discounts
509435,No cancellation fee
509445,Exclusive discounts
509453,Free checked bag
509454,Exclusive discounts
509459,Free checked bag
509467,1 night free hotel with flight
509498,Free checked bag
509515,Exclusive discounts
509516,Free checked bag
509530,1 night free hotel with flight
509552,Free checked bag
509598,Exclusive discounts
509603,Exclusive discounts
509626,Exclusive discounts
509635,Exclusive discounts
509638,Free hotel meal
509645,1 night free hotel with flight
509681,1 night free hotel with flight
509712,Free checked bag
509713,1 night free hotel with flight
509717,Free checked bag
509749,No cancellation fee
509763,1 night free hotel with flight
509765,No cancellation fee
509781,1 night free hotel with flight
509822,No cancellation fee
509826,Free checked bag
509841,Free hotel meal
509855,Free hotel meal
509876,Free hotel meal
509892,No cancellation fee
509903,1 night free hotel with flight
509919,Free checked bag
509924,No cancellation fee
509933,Free hotel meal
509969,Free hotel meal
509990,Free checked bag
510003,Free hotel meal
510022,Free hotel meal
510044,1 night free hotel with flight
510048,Free hotel meal
510061,No cancellation fee
510067,Free checked bag
510070,No cancellation fee
510078,1 night free hotel with flight
510079,Exclusive discounts
510081,No cancellation fee
510090,Free checked bag
510093,No cancellation fee
510094,Free hotel meal
510104,Exclusive discounts
510108,Free checked bag
510112,Free checked bag
510114,No cancellation fee
510134,No cancellation fee
510155,Free checked bag
510156,1 night free hotel with flight
510163,1 night free hotel with flight
510164,Free hotel meal
510170,1 night free hotel with flight
510172,1 night free hotel with flight
510179,1 night free hotel with flight
510185,No cancellation fee
510188,1 night free hotel with flight
510195,No cancellation fee
510198,1 night free hotel with flight
510213,No cancellation fee
510215,No cancellation fee
510219,No cancellation fee
510227,Exclusive discounts
510238,Free checked bag
510239,Exclusive discounts
510243,Exclusive discounts
510257,Free checked bag
510270,No cancellation fee
510283,No cancellation fee
510315,Exclusive discounts
510316,Free hotel meal
510326,No cancellation fee
510328,No cancellation fee
510343,Free hotel meal
510356,1 night free hotel with flight
510365,1 night free hotel with flight
510369,Free checked bag
510379,No cancellation fee
510393,Free checked bag
510418,Free hotel meal
510423,Free hotel meal
510449,Exclusive discounts
510452,1 night free hotel with flight
510459,Exclusive discounts
510490,Free hotel meal
510494,1 night free hotel with flight
510511,Exclusive discounts
510533,Free checked bag
510537,Free checked bag
510543,Free hotel meal
510545,Free hotel meal
510558,Free hotel meal
510570,Exclusive discounts
510571,Free checked bag
510575,Free hotel meal
510580,Exclusive discounts
510582,No cancellation fee
510585,Free hotel meal
510586,No cancellation fee
510610,Free checked bag
510618,Free hotel meal
510676,Exclusive discounts
510686,Free checked bag
510694,1 night free hotel with flight
510700,1 night free hotel with flight
510707,Free hotel meal
510719,Free hotel meal
510733,Free hotel meal
510754,No cancellation fee
510779,Exclusive discounts
510805,Free checked bag
510815,1 night free hotel with flight
510822,Exclusive discounts
510828,No cancellation fee
510836,No cancellation fee
510841,1 night free hotel with flight
510890,No cancellation fee
510899,Exclusive discounts
510944,No cancellation fee
510946,1 night free hotel with flight
510953,Free checked bag
510960,Exclusive discounts
510961,1 night free hotel with flight
510972,Free hotel meal
511017,Free checked bag
511055,1 night free hotel with flight
511066,Free checked bag
511093,Free hotel meal
511122,1 night free hotel with flight
511125,Free hotel meal
511126,1 night free hotel with flight
511140,No cancellation fee
511142,Free hotel meal
511145,Exclusive discounts
511148,Free checked bag
511160,Free checked bag
511178,No cancellation fee
511195,Exclusive discounts
511208,1 night free hotel with flight
511219,Free hotel meal
511223,1 night free hotel with flight
511238,Free hotel meal
511260,Free hotel meal
511298,No cancellation fee
511314,Exclusive discounts
511326,Exclusive discounts
511328,Exclusive discounts
511331,Free hotel meal
511364,Free hotel meal
511377,Free hotel meal
511379,1 night free hotel with flight
511397,Free hotel meal
511398,No cancellation fee
511399,Exclusive discounts
511418,Free hotel meal
511424,Free checked bag
511433,Exclusive discounts
511440,Exclusive discounts
511455,No cancellation fee
511469,Exclusive discounts
511489,No cancellation fee
511502,No cancellation fee
511504,Free checked bag
511535,No cancellation fee
511542,Exclusive discounts
511549,Free hotel meal
511552,Free hotel meal
511554,Free checked bag
511560,Free hotel meal
511567,No cancellation fee
511568,Free checked bag
511570,Free checked bag
511577,Free checked bag
511578,No cancellation fee
511587,Exclusive discounts
511589,Free hotel meal
511608,No cancellation fee
511609,Free checked bag
511613,1 night free hotel with flight
511638,Free hotel meal
511665,1 night free hotel with flight
511666,Exclusive discounts
511677,1 night free hotel with flight
511680,Exclusive discounts
511697,1 night free hotel with flight
511712,Exclusive discounts
511726,Exclusive discounts
511739,1 night free hotel with flight
511757,Free hotel meal
511762,Exclusive discounts
511764,Free checked bag
511772,Exclusive discounts
511778,Exclusive discounts
511783,No cancellation fee
511784,Free checked bag
511800,1 night free hotel with flight
511803,Free hotel meal
511805,1 night free hotel with flight
511809,Free checked bag
511811,No cancellation fee
511821,Free hotel meal
511827,Exclusive discounts
511851,1 night free hotel with flight
511859,1 night free hotel with flight
511860,Free hotel meal
511862,Exclusive discounts
511878,Free hotel meal
511884,1 night free hotel with flight
511902,No cancellation fee
511910,Free hotel meal
511916,Free hotel meal
511923,1 night free hotel with flight
511936,No cancellation fee
511943,Free hotel meal
511977,Exclusive discounts
511989,Exclusive discounts
511996,Free hotel meal
511998,Free checked bag
512009,Free hotel meal
512010,Free hotel meal
512016,1 night free hotel with flight
512024,Free checked bag
512028,No cancellation fee
512060,Free checked bag
512063,Free checked bag
512069,Free hotel meal
512078,Exclusive discounts
512099,Free checked bag
512103,Free hotel meal
512144,Free hotel meal
512147,Exclusive discounts
512148,Free hotel meal
512163,Free checked bag
512173,Exclusive discounts
512190,Free hotel meal
512193,Free hotel meal
512197,No cancellation fee
512201,No cancellation fee
512204,1 night free hotel with flight
512243,Free hotel meal
512249,Exclusive discounts
512266,No cancellation fee
512271,No cancellation fee
512283,No cancellation fee
512289,Free hotel meal
512294,No cancellation fee
512295,1 night free hotel with flight
512301,Exclusive discounts
512302,Exclusive discounts
512303,Free hotel meal
512305,No cancellation fee
512322,No cancellation fee
512329,1 night free hotel with flight
512362,1 night free hotel with flight
512377,Free hotel meal
512392,Exclusive discounts
512397,Free hotel meal
512402,Free checked bag
512416,No cancellation fee
512418,Free checked bag
512419,Exclusive discounts
512440,Exclusive discounts
512443,Free hotel meal
512447,Free checked bag
512463,No cancellation fee
512495,1 night free hotel with flight
512529,Free hotel meal
512536,No cancellation fee
512552,Exclusive discounts
512556,1 night free hotel with flight
512558,1 night free hotel with flight
512587,Free checked bag
512589,Exclusive discounts
512596,Exclusive discounts
512598,1 night free hotel with flight
512610,1 night free hotel with flight
512623,Exclusive discounts
512628,Exclusive discounts
512631,1 night free hotel with flight
512655,No cancellation fee
512671,No cancellation fee
512677,Free checked bag
512680,Free checked bag
512691,Free hotel meal
512693,Exclusive discounts
512695,No cancellation fee
512696,No cancellation fee
512704,Free hotel meal
512706,1 night free hotel with flight
512780,1 night free hotel with flight
512786,Exclusive discounts
512787,No cancellation fee
512791,Free hotel meal
512801,Exclusive discounts
512826,No cancellation fee
512831,Exclusive discounts
512835,1 night free hotel with flight
512846,No cancellation fee
512848,Free checked bag
512880,Exclusive discounts
512887,1 night free hotel with flight
512888,1 night free hotel with flight
512900,Free checked bag
512904,1 night free hotel with flight
512922,Free hotel meal
512928,Free checked bag
512943,1 night free hotel with flight
512945,Free checked bag
512974,Free checked bag
512976,No cancellation fee
512984,No cancellation fee
512999,Free checked bag
513004,Exclusive discounts
513005,Exclusive discounts
513006,Free checked bag
513026,1 night free hotel with flight
513030,Free checked bag
513031,Free hotel meal
513058,No cancellation fee
513089,No cancellation fee
513090,Free hotel meal
513091,Free hotel meal
513093,Free checked bag
513096,Free hotel meal
513103,Free hotel meal
513126,Exclusive discounts
513138,Free hotel meal
513164,Exclusive discounts
513206,Free hotel meal
513216,No cancellation fee
513220,1 night free hotel with flight
513221,Free checked bag
