"user_id","bags","avg_hotel_nights","trips_booked","flights_booked","return_booked","hotels_booked","packages_booked","cancellations","f_discount","h_discount","total_sessions","avg_room_price","avg_flight_price","avg_flight_discount","avg_room_discount","f_discount_per","h_discount_per","avg_clicks","session_in_seconds","avg_distance","trips_ratio","trips_per_click","clicks_per_session","cancellations_ratio","flights_ratio","hotels_ratio","packages_per_session","f_discounted_price","h_discounted_price","return_ratio","f_discount_ratio","h_discount_ratio","package_per_trip","bags_per_flight","price_per_km","discount_per_km"
"164522","1","13.0000000000000000","1","1","1","1","1","0","2","1","8","233.00","328.32","16.42","","0.05000000000000000000","0.05000000000000000000","11.13","83.375","1808","0.13","0.09","1.39","0.00","0.13","0.13","0.13","311.90","221.35","1.00","0.25","0.13","1.00","1.00","0.1815929203539823","0.009081858407079648"
"167852","","","0","0","0","0","0","0","1","2","8","","","","","0.10000000000000000000","0.10000000000000000000","7.88","58","","0.00","0.00","0.99","0.00","0.00","0.00","0.00","","","","0.13","0.25","","","",""
"171470","1","","3","3","3","2","2","2","3","2","8","","3679.36","287.83","","0.10000000000000000000","","55.75","42.5","17604","0.38","0.05","6.97","0.25","0.38","0.25","0.25","3311.42","","1.00","0.38","0.25","0.67","0.33","0.20900704385366964","0.016350261304249034"
"174997","1","2.0000000000000000","3","3","3","3","3","1","1","3","8","112.00","1075.50","","","","0.12500000000000000000","31.50","91.75","3938","0.38","0.10","3.94","0.13","0.38","0.38","0.38","","98.00","1.00","0.13","0.38","1.00","0.33","0.27310817673946164",""
"175032","1","4.3333333333333333","3","2","2","3","2","0","1","2","9","139.00","554.63","","22.65","0.30000000000000000000","0.10000000000000000000","14.11","104.33333333333333","1395","0.33","0.21","1.57","0.00","0.22","0.33","0.22","388.24","125.10","1.00","0.11","0.22","0.67","0.50","0.397584229390681",""
"181157","3","3.3333333333333333","3","3","3","3","3","0","2","1","8","162.33","346.48","80.40","15.60","0.17500000000000000000","0.15000000000000000000","19.13","141.125","1213","0.38","0.16","2.39","0.00","0.38","0.38","0.38","285.85","137.98","1.00","0.25","0.13","1.00","1.00","0.285638911788953","0.06628194558944765"
"182191","1","","1","1","1","1","1","1","1","2","8","","537.67","","","","0.10000000000000000000","18.50","215.875","1671","0.13","0.05","2.31","0.13","0.13","0.13","0.13","","","1.00","0.13","0.25","1.00","1.00","0.32176540993417113",""
"187212","2","2.0000000000000000","3","3","3","3","3","0","1","1","8","217.33","414.19","","","0.39999999999999990000","0.10000000000000000000","16.00","118.75","2466","0.38","0.19","2.00","0.00","0.38","0.38","0.38","248.51","195.60","1.00","0.13","0.13","1.00","0.67","0.16796025952960258",""
"189676","2","9.0000000000000000","2","1","1","2","1","0","1","0","8","180.50","1244.31","","","0.15000000000000000000","","11.63","86.375","2351","0.25","0.17","1.45","0.00","0.13","0.25","0.13","1057.66","","1.00","0.13","0.00","0.50","2.00","0.5292683964270523",""
"190866","2","1.8000000000000000","5","5","5","5","5","0","0","1","9","169.20","416.20","","","","0.05000000000000000000","20.67","153.88888888888889","2424","0.56","0.24","2.30","0.00","0.56","0.56","0.56","","160.74","1.00","0.00","0.11","1.00","0.40","0.1716996699669967",""
"195192","0","1.00000000000000000000","1","1","1","1","1","0","1","1","8","160.00","394.29","","","0.10000000000000000000","0.10000000000000000000","28.13","208.375","1166","0.13","0.04","3.52","0.00","0.13","0.13","0.13","354.86","144.00","1.00","0.13","0.13","1.00","0.00","0.33815608919382506",""
"204943","9","6.8571428571428571","7","7","7","7","7","1","3","1","8","191.57","475.97","26.76","","0.15000000000000000000","","36.50","143.5","1834","0.88","0.19","4.56","0.13","0.88","0.88","0.88","404.57","","1.00","0.38","0.13","1.00","1.29","0.25952562704471105","0.014591057797164669"
"204997","3","4.5000000000000000","5","5","5","4","4","2","3","4","8","152.25","991.13","120.82","8.30","0.25000000000000000000","0.10000000000000000000","54.88","499.25","3181","0.63","0.09","6.86","0.25","0.63","0.50","0.50","743.35","137.03","1.00","0.38","0.50","0.80","0.60","0.31157812008802266","0.03798176674001886"
"205044","1","4.6666666666666667","3","3","3","3","3","0","1","0","9","249.33","916.12","27.65","","0.05000000000000000000","","14.89","110.33333333333333","2397","0.33","0.20","1.65","0.00","0.33","0.33","0.33","870.31","","1.00","0.11","0.00","1.00","0.33","0.3821944096787651","0.011535252398831873"
"206011","1","2.6666666666666667","4","4","4","3","3","0","1","2","8","113.33","261.65","21.82","","0.05000000000000000000","0.20000000000000000000","19.50","146.125","1452","0.50","0.21","2.44","0.00","0.50","0.38","0.38","248.57","90.66","1.00","0.13","0.25","0.75","0.25","0.1801997245179063","0.015027548209366392"
"216796","4","10.0000000000000000","2","2","2","2","2","1","4","2","8","241.00","2500.87","625.22","","0.16666666666666666667","0.10000000000000000000","15.63","491.375","7495","0.25","0.13","1.95","0.13","0.25","0.25","0.25","2084.06","216.90","1.00","0.50","0.25","1.00","2.00","0.33367178118745827","0.08341827885256839"
"217114","","","0","0","0","0","0","0","1","3","9","","","","","0.05000000000000000000","0.15000000000000000000","6.56","49.888888888888886","","0.00","0.00","0.73","0.00","0.00","0.00","0.00","","","","0.11","0.33","","","",""
"217136","0","2.0000000000000000","2","1","1","2","1","0","2","0","8","236.50","539.57","","","0.17500000000000000000","","13.25","99.375","3095","0.25","0.15","1.66","0.00","0.13","0.25","0.13","445.15","","1.00","0.25","0.00","0.50","0.00","0.17433602584814217",""
"220725","1","3.7500000000000000","5","5","5","4","4","1","2","2","9","125.00","484.58","","","0.15000000000000000000","0.05000000000000000000","35.11","148.88888888888889","2764","0.56","0.14","3.90","0.11","0.56","0.44","0.44","411.89","118.75","1.00","0.22","0.22","0.80","0.20","0.17531837916063675",""
"224996","0","0.00000000000000000000","2","2","2","1","1","0","0","1","8","231.00","448.81","","","","0.10000000000000000000","12.75","94.625","2488","0.25","0.16","1.59","0.00","0.25","0.13","0.13","","207.90","1.00","0.00","0.13","0.50","0.00","0.18038987138263665",""
"226367","2","1.6666666666666667","3","3","3","3","3","0","1","0","8","253.00","296.40","5.61","","0.05000000000000000000","","14.25","105.5","1633","0.38","0.21","1.78","0.00","0.38","0.38","0.38","281.58","","1.00","0.13","0.00","1.00","0.67","0.1815064298836497","0.0034353949785670547"
"228195","","","0","0","0","0","0","0","1","0","9","","","","","0.20000000000000000000","","12.89","95.77777777777777","","0.00","0.00","1.43","0.00","0.00","0.00","0.00","","","","0.11","0.00","","","",""
"228872","1","6.5000000000000000","2","1","1","2","1","0","1","0","8","94.00","509.21","","","0.35000000000000000000","","15.75","118","2954","0.25","0.13","1.97","0.00","0.13","0.25","0.13","330.99","","1.00","0.13","0.00","0.50","1.00","0.17237982396750168",""
"229009","1","1.5000000000000000","4","4","4","3","3","1","1","1","8","149.50","1127.22","","","","","18.00","264.875","12191","0.50","0.22","2.25","0.13","0.50","0.38","0.38","","","1.00","0.13","0.13","0.75","0.25","0.0924632925928964",""
"229108","0","","2","2","2","1","1","1","3","3","8","","438.61","","","0.20000000000000000000","0.10000000000000000000","40.13","112.25","2511","0.25","0.05","5.02","0.13","0.25","0.13","0.13","350.89","","1.00","0.38","0.38","0.50","0.00","0.17467542811628833",""
"229330","1","1.5000000000000000","4","4","4","4","4","0","0","1","8","209.25","387.03","","","","0.10000000000000000000","16.13","119.625","1176","0.50","0.25","2.02","0.00","0.50","0.50","0.50","","188.33","1.00","0.00","0.13","1.00","0.25","0.3291071428571428",""
"232647","1","11.0000000000000000","2","1","1","1","0","0","1","0","8","213.00","237.10","","","0.10000000000000000000","","12.50","93.875","1437","0.25","0.16","1.56","0.00","0.13","0.13","0.00","213.39","","1.00","0.13","0.00","0.00","1.00","0.16499652052887961",""
"249521","1","1.5000000000000000","2","1","1","2","1","0","1","3","8","141.50","642.02","","10.80","0.20000000000000000000","0.13333333333333333333","18.88","140.625","3740","0.25","0.11","2.36","0.00","0.13","0.25","0.13","513.62","122.63","1.00","0.13","0.38","0.50","1.00","0.17166310160427806",""
"252835","3","2.7500000000000000","5","5","5","4","4","0","1","1","8","132.75","335.31","60.92","","0.30000000000000000000","0.05000000000000000000","14.63","108.25","1859","0.63","0.34","1.83","0.00","0.63","0.50","0.50","234.72","126.11","1.00","0.13","0.13","0.80","0.60","0.1803711672942442","0.032770306616460465"
"258451","","13.0000000000000000","2","1","0","2","1","1","2","1","8","178.00","","","","0.15000000000000000000","","20.88","219.875","","0.25","0.10","2.61","0.13","0.13","0.25","0.13","","","0.00","0.25","0.13","0.50","","",""
"264470","1","4.5000000000000000","2","2","2","2","2","0","1","1","8","200.00","436.51","37.80","","0.05000000000000000000","0.10000000000000000000","14.75","111","2392","0.25","0.14","1.84","0.00","0.25","0.25","0.25","414.68","180.00","1.00","0.13","0.13","1.00","0.50","0.18248745819397993","0.015802675585284278"
"276512","1","1.00000000000000000000","1","1","1","1","1","0","2","2","8","100.00","395.69","","","0.12500000000000000000","0.12500000000000000000","12.25","91.375","2409","0.13","0.08","1.53","0.00","0.13","0.13","0.13","346.23","87.50","1.00","0.25","0.25","1.00","1.00","0.16425487754254878",""
"281952","3","1.00000000000000000000","2","2","2","2","2","0","0","1","8","131.50","342.36","","26.70","","0.15000000000000000000","19.75","146.375","1967","0.25","0.10","2.47","0.00","0.25","0.25","0.25","","111.78","1.00","0.00","0.13","1.00","1.50","0.17405185561769193",""
"283325","0","3.0000000000000000","2","1","1","2","1","0","2","1","8","360.50","453.27","45.33","","0.07500000000000000000","0.10000000000000000000","14.25","105.625","2838","0.25","0.14","1.78","0.00","0.13","0.25","0.13","419.27","324.45","1.00","0.25","0.13","0.50","0.00","0.15971458773784356","0.015972515856236786"
"290123","6","2.1666666666666667","7","7","6","6","6","0","0","0","9","240.00","685.16","","","","","21.11","155.88888888888889","2533","0.78","0.33","2.35","0.00","0.78","0.67","0.67","","","0.86","0.00","0.00","0.86","0.86","0.270493485984998",""
"297546","3","5.2000000000000000","5","4","4","5","4","0","0","1","8","106.00","415.18","","6.00","","0.05000000000000000000","25.88","192.875","1773","0.63","0.19","3.24","0.00","0.50","0.63","0.50","","100.70","1.00","0.00","0.13","0.80","0.75","0.23416807670614778",""
"298253","2","","1","1","1","0","0","0","2","1","8","","712.42","","","0.22500000000000000000","0.15000000000000000000","12.25","91.75","4184","0.13","0.08","1.53","0.00","0.13","0.00","0.00","552.13","","1.00","0.25","0.13","0.00","2.00","0.17027246653919692",""
"299476","0","1.00000000000000000000","1","1","1","1","1","0","2","2","9","71.00","192.38","","","0.20000000000000000000","0.12500000000000000000","20.78","154.11111111111111","1090","0.11","0.05","2.31","0.00","0.11","0.11","0.11","153.90","62.13","1.00","0.22","0.22","1.00","0.00","0.1764954128440367",""
"306165","","","0","0","0","0","0","0","0","0","8","","","","","","","11.13","82.5","","0.00","0.00","1.39","0.00","0.00","0.00","0.00","","","","0.00","0.00","","","",""
"306819","1","1.00000000000000000000","3","3","3","3","3","1","2","2","8","298.67","90.05","","","0.05000000000000000000","0.05000000000000000000","41.13","161.875","492","0.38","0.07","5.14","0.13","0.38","0.38","0.38","85.55","283.74","1.00","0.25","0.25","1.00","0.33","0.18302845528455283",""
"312488","1","0.00000000000000000000","1","1","1","1","1","0","1","1","8","299.00","407.10","","","0.25000000000000000000","0.20000000000000000000","9.50","71","2172","0.13","0.11","1.19","0.00","0.13","0.13","0.13","305.33","239.20","1.00","0.13","0.13","1.00","1.00","0.18743093922651935",""
"313724","4","3.0000000000000000","6","5","5","6","5","1","1","1","8","183.50","382.26","","","","","43.88","210.375","1841","0.75","0.14","5.49","0.13","0.63","0.75","0.63","","","1.00","0.13","0.13","0.83","0.80","0.2076371537208039",""
"316527","1","3.0000000000000000","4","4","4","4","4","0","1","1","8","322.75","434.97","","3.90","0.15000000000000000000","0.05000000000000000000","17.38","130","1941","0.50","0.23","2.17","0.00","0.50","0.50","0.50","369.72","306.61","1.00","0.13","0.13","1.00","0.25","0.22409582689335394",""
"317688","2","1.2500000000000000","4","4","4","4","4","0","2","1","8","168.25","309.69","","5.10","0.24999999999999995000","0.05000000000000000000","16.63","124","1635","0.50","0.24","2.08","0.00","0.50","0.50","0.50","232.27","159.84","1.00","0.25","0.13","1.00","0.50","0.18941284403669725",""
"322867","1","7.0000000000000000","1","1","1","1","1","0","2","2","8","189.00","173.04","","","0.12500000000000000000","0.10000000000000000000","10.25","77","920","0.13","0.10","1.28","0.00","0.13","0.13","0.13","151.41","170.10","1.00","0.25","0.25","1.00","1.00","0.18808695652173912",""
"324191","1","4.5000000000000000","2","2","2","2","2","0","2","1","8","273.50","49.87","","","0.10000000000000000000","0.15000000000000000000","10.75","80.125","176","0.25","0.19","1.34","0.00","0.25","0.25","0.25","44.88","232.48","1.00","0.25","0.13","1.00","0.50","0.2833522727272727",""
"328590","1","4.5000000000000000","4","4","4","3","3","1","2","3","8","155.00","914.15","","23.25","0.10000000000000000000","0.15000000000000000000","47.88","185.5","3678","0.50","0.08","5.99","0.13","0.50","0.38","0.38","822.74","131.75","1.00","0.25","0.38","0.75","0.25","0.24854540511147363",""
"330764","2","4.5000000000000000","4","2","2","3","1","1","1","2","8","129.50","375.52","","","","0.05000000000000000000","46.88","161.125","684","0.50","0.09","5.86","0.13","0.25","0.38","0.13","","123.03","1.00","0.13","0.25","0.25","1.00","0.5490058479532164",""
"330893","2","2.0000000000000000","3","3","3","3","3","0","0","1","8","138.00","287.20","","","","0.05000000000000000000","16.63","124","1603","0.38","0.18","2.08","0.00","0.38","0.38","0.38","","131.10","1.00","0.00","0.13","1.00","0.67","0.17916406737367435",""
"331039","6","8.0000000000000000","2","2","2","2","2","1","2","3","8","209.00","2290.87","","20.90","0.10000000000000000000","0.07500000000000000000","24.75","160.125","3192","0.25","0.08","3.09","0.13","0.25","0.25","0.25","2061.78","193.33","1.00","0.25","0.38","1.00","3.00","0.7176911027568922",""
"334787","2","2.0000000000000000","3","3","3","3","3","0","2","0","8","169.00","252.72","8.72","","0.05000000000000000000","","14.88","110.875","1378","0.38","0.20","1.86","0.00","0.38","0.38","0.38","240.08","","1.00","0.25","0.00","1.00","0.67","0.18339622641509434","0.006328011611030479"
"337227","","","0","0","0","0","0","0","0","1","8","","","","","","0.05000000000000000000","10.38","77","","0.00","0.00","1.30","0.00","0.00","0.00","0.00","","","","0.00","0.13","","","",""
"338086","1","1.00000000000000000000","2","2","2","2","2","0","1","1","8","63.00","490.85","","10.00","0.30000000000000000000","0.20000000000000000000","17.13","128.5","2659","0.25","0.12","2.14","0.00","0.25","0.25","0.25","343.60","50.40","1.00","0.13","0.13","1.00","0.50","0.18459947348627304",""
"340166","","2.0000000000000000","1","0","0","1","0","0","1","1","8","237.00","","","","0.10000000000000000000","0.10000000000000000000","11.00","81.625","","0.13","0.09","1.38","0.00","0.00","0.13","0.00","","213.30","","0.13","0.13","0.00","","",""
"343928","1","3.0000000000000000","2","2","2","1","1","0","2","1","8","116.00","2775.31","1021.88","","0.29999999999999995000","0.10000000000000000000","15.25","112.75","11233","0.25","0.13","1.91","0.00","0.25","0.13","0.13","1942.72","104.40","1.00","0.25","0.13","0.50","0.50","0.24706756877058667","0.09097124543755007"
"347778","5","2.2500000000000000","5","5","5","4","4","0","2","0","9","226.75","846.74","","","0.15000000000000000000","","18.00","133.33333333333334","2557","0.56","0.28","2.00","0.00","0.56","0.44","0.44","719.73","","1.00","0.22","0.00","0.80","1.00","0.3311458740711772",""
"348817","2","2.2500000000000000","4","3","3","4","3","0","1","0","8","259.00","458.21","","","0.05000000000000000000","","15.63","116","2523","0.50","0.26","1.95","0.00","0.38","0.50","0.38","435.30","","1.00","0.13","0.00","0.75","0.67","0.1816131589377725",""
"348863","","","0","0","0","0","0","0","0","1","8","","","","","","0.10000000000000000000","10.13","74.625","","0.00","0.00","1.27","0.00","0.00","0.00","0.00","","","","0.00","0.13","","","",""
"349132","1","4.6666666666666667","3","2","2","3","2","0","0","1","9","193.67","360.53","","27.70","","0.10000000000000000000","14.78","110.33333333333333","1083","0.33","0.20","1.64","0.00","0.22","0.33","0.22","","174.30","1.00","0.00","0.11","0.67","0.50","0.3328993536472761",""
"350648","0","3.0000000000000000","2","2","2","2","2","1","3","2","8","185.00","212.18","","","0.17500000000000000000","0.10000000000000000000","36.88","357.25","1265","0.25","0.05","4.61","0.13","0.25","0.25","0.25","175.05","166.50","1.00","0.38","0.25","1.00","0.00","0.1677312252964427",""
"353271","0","0.00000000000000000000","1","1","1","1","1","0","1","1","8","136.00","408.40","","","0.15000000000000000000","0.15000000000000000000","10.50","78.875","1177","0.13","0.10","1.31","0.00","0.13","0.13","0.13","347.14","115.60","1.00","0.13","0.13","1.00","0.00","0.3469838572642311",""
"353694","1","4.5000000000000000","2","2","1","2","2","0","3","0","8","124.00","230.69","","","0.08333333333333333333","","12.50","92.5","1336","0.25","0.16","1.56","0.00","0.25","0.25","0.25","211.47","","0.50","0.38","0.00","1.00","0.50","0.17267215568862276",""
"354050","1","2.2000000000000000","5","5","4","5","5","0","1","1","8","210.40","391.58","29.10","9.90","0.05000000000000000000","0.05000000000000000000","21.50","159.125","2093","0.63","0.23","2.69","0.00","0.63","0.63","0.63","372.00","199.88","0.80","0.13","0.13","1.00","0.20","0.18709030100334448","0.013903487816531295"
"354260","2","2.0000000000000000","2","2","2","1","1","0","2","0","8","260.00","582.51","","","0.15000000000000000000","","14.50","107.875","3216","0.25","0.14","1.81","0.00","0.25","0.13","0.13","495.13","","1.00","0.25","0.00","0.50","1.00","0.18112873134328358",""
"354311","1","3.0000000000000000","2","2","2","1","1","0","1","0","8","97.00","536.45","","","0.10000000000000000000","","12.25","92","3239","0.25","0.16","1.53","0.00","0.25","0.13","0.13","482.81","","1.00","0.13","0.00","0.50","0.50","0.1656221055881445",""
"354950","1","6.0000000000000000","1","1","1","1","1","0","0","1","8","127.00","460.54","","","","0.10000000000000000000","12.50","94.125","2618","0.13","0.08","1.56","0.00","0.13","0.13","0.13","","114.30","1.00","0.00","0.13","1.00","1.00","0.17591291061879297",""
"356046","0","2.0000000000000000","2","2","2","2","2","0","1","1","8","97.50","391.91","","","0.15000000000000000000","0.05000000000000000000","12.63","94","1783","0.25","0.16","1.58","0.00","0.25","0.25","0.25","333.12","92.63","1.00","0.13","0.13","1.00","0.00","0.21980370162647225",""
"357737","2","3.3333333333333333","6","5","5","6","5","1","1","4","8","171.17","435.38","","7.85","","0.08333333333333333333","52.38","201.125","2595","0.75","0.11","6.55","0.13","0.63","0.75","0.63","","156.91","1.00","0.13","0.50","0.83","0.40","0.16777649325626204",""
"359072","1","2.2500000000000000","4","4","4","4","4","1","3","1","8","123.00","197.62","","","0.20000000000000000000","","39.75","533.75","1051","0.50","0.10","4.97","0.13","0.50","0.50","0.50","158.10","","1.00","0.38","0.13","1.00","0.25","0.18803044719314937",""
"359080","4","2.0000000000000000","4","4","4","2","2","0","1","1","8","338.50","1288.39","","","0.10000000000000000000","0.20000000000000000000","15.75","119","4685","0.50","0.25","1.97","0.00","0.50","0.25","0.25","1159.55","270.80","1.00","0.13","0.13","0.50","1.00","0.2750032017075774",""
"359653","2","1.5000000000000000","2","2","2","2","2","0","1","2","8","215.00","392.17","","27.40","0.25000000000000000000","0.07500000000000000000","15.88","118","2138","0.25","0.13","1.99","0.00","0.25","0.25","0.25","294.13","198.88","1.00","0.13","0.25","1.00","1.00","0.18342843779232929",""
"361459","1","1.00000000000000000000","1","1","1","1","1","0","0","2","8","165.00","393.91","","","","0.12500000000000000000","7.38","56","2404","0.13","0.14","0.92","0.00","0.13","0.13","0.13","","144.38","1.00","0.00","0.25","1.00","1.00","0.16385607321131448",""
"361759","2","0.66666666666666666667","4","4","4","3","3","0","3","2","9","79.67","415.15","","3.15","0.15000000000000000000","0.07500000000000000000","15.44","113.88888888888889","2133","0.44","0.26","1.72","0.00","0.44","0.33","0.33","352.88","73.69","1.00","0.33","0.22","0.75","0.50","0.19463197374589777",""
"363535","3","2.7500000000000000","4","4","3","4","4","1","4","1","8","185.00","332.04","48.48","","0.18333333333333333333","","31.00","401.625","1784","0.50","0.13","3.88","0.13","0.50","0.50","0.50","271.17","","0.75","0.50","0.13","1.00","0.75","0.18612107623318386","0.02717488789237668"
"365825","1","6.0000000000000000","3","2","1","3","2","1","2","1","8","180.33","64.63","","","0.10000000000000000000","","44.38","142.75","383","0.38","0.07","5.55","0.13","0.25","0.38","0.25","58.17","","0.50","0.25","0.13","0.67","0.50","0.16874673629242817",""
"371201","3","","1","1","1","0","0","0","1","1","8","","199.47","","","0.39999999999999990000","0.05000000000000000000","13.13","97.125","1061","0.13","0.08","1.64","0.00","0.13","0.00","0.00","119.68","","1.00","0.13","0.13","0.00","3.00","0.18800188501413762",""
"372970","1","0.00000000000000000000","2","2","2","2","2","0","2","2","8","204.00","646.65","","","0.12500000000000000000","0.15000000000000000000","12.50","94.625","4048","0.25","0.16","1.56","0.00","0.25","0.25","0.25","565.82","173.40","1.00","0.25","0.25","1.00","0.50","0.1597455533596838",""
"373489","3","12.0000000000000000","1","1","1","1","1","0","3","4","9","51.00","7451.31","1862.83","","0.21666666666666666667","0.12500000000000000000","13.11","96.44444444444444","20504","0.11","0.08","1.46","0.00","0.11","0.11","0.11","5836.86","44.63","1.00","0.33","0.44","1.00","3.00","0.3634076277799454","0.09085202887241514"
"374331","2","12.0000000000000000","3","2","2","2","1","1","4","2","8","280.00","236.26","","","0.15000000000000000000","0.20000000000000000000","42.25","131.25","1339","0.38","0.07","5.28","0.13","0.25","0.25","0.13","200.82","224.00","1.00","0.50","0.25","0.33","1.00","0.17644510828976848",""
"374340","1","","1","1","1","0","0","0","0","1","9","","3966.19","","","","0.05000000000000000000","8.67","64.44444444444444","16455","0.11","0.12","0.96","0.00","0.11","0.00","0.00","","","1.00","0.00","0.11","0.00","1.00","0.2410325129140079",""
"374341","","7.3333333333333333","3","0","0","3","0","0","1","0","8","152.33","","","","0.10000000000000000000","","13.13","98.125","","0.38","0.23","1.64","0.00","0.00","0.38","0.00","","","","0.13","0.00","0.00","","",""
"375160","","","0","0","0","0","0","0","1","1","8","","","","","0.05000000000000000000","0.10000000000000000000","5.13","38","","0.00","0.00","0.64","0.00","0.00","0.00","0.00","","","","0.13","0.13","","","",""
"375729","1","2.0000000000000000","3","3","3","3","3","0","3","2","8","271.33","344.05","67.94","","0.11666666666666666667","0.07500000000000000000","17.75","131.125","1877","0.38","0.17","2.22","0.00","0.38","0.38","0.38","303.91","250.98","1.00","0.38","0.25","1.00","0.33","0.1832978156632925","0.03619605753862547"
"375751","1","3.0000000000000000","3","3","3","2","2","0","0","1","8","166.50","235.85","","","","0.05000000000000000000","24.00","176.75","1322","0.38","0.13","3.00","0.00","0.38","0.25","0.25","","158.18","1.00","0.00","0.13","0.67","0.33","0.17840393343419061",""
"376159","1","3.0000000000000000","2","1","1","2","1","0","0","0","8","127.50","367.24","","","","","12.75","95.5","2175","0.25","0.16","1.59","0.00","0.13","0.25","0.13","","","1.00","0.00","0.00","0.50","1.00","0.16884597701149426",""
"377069","2","","2","2","2","1","1","1","1","2","8","","926.67","","","","0.05000000000000000000","32.50","56.625","2912","0.25","0.06","4.06","0.13","0.25","0.13","0.13","","","1.00","0.13","0.25","0.50","1.00","0.3182245879120879",""
"377411","0","2.5000000000000000","2","2","2","2","2","0","3","1","8","113.50","504.31","18.61","","0.11666666666666666667","0.15000000000000000000","14.75","110.625","1493","0.25","0.14","1.84","0.00","0.25","0.25","0.25","445.47","96.48","1.00","0.38","0.13","1.00","0.00","0.33778298727394507","0.01246483590087073"
"378565","1","8.8000000000000000","5","2","2","5","2","0","4","0","8","144.60","354.82","21.69","","0.07500000000000000000","","17.00","127.125","2022","0.63","0.29","2.13","0.00","0.25","0.63","0.25","328.21","","1.00","0.50","0.00","0.40","0.50","0.17547972304648862","0.010727002967359052"
